Gender,Hours Studied,Previous Scores,Extracurricular Activities,Tuition,Sleep Hours,Sample Question Papers Practiced,Performance Index
Male,8,94,Yes,No,9,5,89
Male,5,59,Yes,Yes,9,1,49
Male,1,98,No,Yes,4,4,74
Male,9,53,No,Yes,5,8,53
Male,1,79,Yes,No,9,5,58
Male,8,64,Yes,No,6,5,62
Male,5,64,Yes,No,7,6,51
Male,3,42,Yes,No,5,4,23
Female,7,44,No,Yes,6,2,38
Male,7,77,No,No,8,2,75
Female,9,93,Yes,No,5,4,95
Male,7,65,Yes,Yes,9,3,64
Male,3,79,No,No,6,4,59
Male,1,77,No,No,7,8,56
Female,8,77,Yes,Yes,7,4,79
Female,3,43,Yes,No,6,3,28
Female,8,46,Yes,Yes,8,3,45
Female,8,69,No,No,9,0,67
Male,5,69,No,Yes,6,9,55
Female,1,95,No,Yes,4,3,76
Male,7,58,No,No,6,3,51
Female,5,78,Yes,Yes,6,8,67
Female,8,74,No,Yes,9,3,73
Male,9,79,No,No,7,6,76
Female,7,72,No,No,8,0,68
Male,7,72,Yes,Yes,6,6,62
Female,1,53,No,Yes,5,1,36
Female,4,77,No,No,7,7,63
Female,2,49,No,No,7,0,35
Female,2,96,Yes,Yes,6,9,81
Male,2,67,No,Yes,9,2,44
Female,4,53,Yes,Yes,5,7,39
Male,1,75,Yes,Yes,6,9,55
Male,4,77,No,Yes,5,7,61
Male,2,55,Yes,No,7,4,31
Female,5,60,No,No,5,4,43
Male,3,67,Yes,No,6,7,48
Female,8,72,Yes,Yes,4,9,76
Male,4,45,No,Yes,4,4,28
Female,1,80,No,Yes,5,8,62
Female,1,54,Yes,Yes,9,0,33
Male,3,83,Yes,No,6,4,67
Male,9,42,Yes,No,8,2,39
Female,7,82,Yes,No,4,2,77
Female,2,86,No,Yes,7,1,68
Male,9,74,Yes,No,6,2,71
Female,2,53,Yes,No,6,6,31
Female,3,41,No,No,4,7,26
Female,2,68,Yes,No,8,7,50
Male,3,43,No,Yes,7,7,25
Male,6,65,No,Yes,8,0,57
Female,9,90,No,No,7,6,92
Male,9,51,Yes,No,4,1,49
Male,7,41,No,No,6,9,32
Male,3,56,No,No,7,3,38
Male,4,74,No,No,6,4,57
Female,6,49,Yes,Yes,5,0,41
Male,5,87,Yes,Yes,5,3,76
Male,2,61,Yes,Yes,4,3,40
Female,6,80,Yes,Yes,4,8,79
Male,3,82,No,Yes,9,8,68
Male,8,60,No,Yes,4,9,59
Male,2,54,No,Yes,5,0,36
Male,1,74,Yes,Yes,7,7,54
Female,9,87,No,Yes,8,3,93
Male,3,60,Yes,No,4,3,40
Female,1,60,Yes,No,8,4,39
Female,7,60,Yes,No,8,1,55
Male,5,83,No,No,5,0,67
Male,5,71,No,No,9,4,60
Male,1,94,Yes,No,7,6,69
Male,9,44,No,No,5,9,39
Female,7,78,Yes,Yes,4,8,78
Male,8,48,No,No,5,1,44
Male,9,92,Yes,Yes,5,7,97
Female,6,57,Yes,Yes,5,6,51
Female,5,60,Yes,No,4,1,44
Male,6,47,No,No,4,4,31
Female,2,83,No,Yes,5,6,69
Female,4,91,No,No,5,2,78
Male,3,73,No,No,8,1,55
Male,7,49,No,No,7,5,43
Male,9,90,Yes,No,8,9,92
Male,5,80,No,Yes,9,5,75
Female,6,96,Yes,No,7,3,87
Female,2,63,No,Yes,9,0,45
Male,3,79,No,Yes,7,4,64
Male,3,63,No,No,5,0,44
Male,9,95,Yes,No,8,7,93
Female,7,71,No,Yes,7,1,70
Male,8,95,Yes,Yes,9,8,95
Female,9,72,No,No,7,8,75
Female,6,77,Yes,No,4,2,65
Female,4,83,Yes,Yes,7,5,69
Male,1,96,Yes,Yes,5,8,77
Male,8,95,Yes,No,6,6,96
Male,7,90,No,No,4,3,81
Female,2,98,No,No,6,2,82
Male,8,88,Yes,Yes,5,1,83
Male,5,73,No,No,6,9,58
Female,7,50,Yes,No,7,9,47
Male,4,70,No,No,6,0,54
Male,5,57,No,No,8,9,44
Female,8,62,No,Yes,5,0,62
Female,1,61,Yes,Yes,8,3,41
Male,1,82,No,No,6,3,57
Female,4,57,Yes,Yes,8,8,49
Female,3,79,No,No,4,9,66
Male,2,86,Yes,No,6,0,62
Male,3,80,No,Yes,9,3,66
Male,1,86,Yes,Yes,8,2,67
Male,1,78,Yes,Yes,7,8,63
Male,6,59,Yes,No,6,4,52
Female,5,52,No,Yes,9,8,47
Female,8,84,Yes,No,4,9,78
Female,2,40,No,Yes,7,5,24
Male,4,91,Yes,No,6,8,79
Male,8,43,Yes,No,7,0,35
Female,6,63,Yes,No,6,3,53
Female,1,75,No,No,6,3,56
Male,4,75,No,Yes,5,9,65
Female,1,84,No,Yes,8,9,63
Female,2,41,No,Yes,6,5,24
Male,5,67,No,No,4,9,53
Male,8,65,No,Yes,9,0,67
Female,8,62,No,No,8,9,65
Male,3,54,Yes,No,5,4,35
Male,4,75,Yes,No,8,2,58
Female,6,66,No,No,8,0,57
Male,3,45,No,Yes,6,5,24
Male,2,74,No,Yes,4,2,50
Female,6,78,No,No,6,3,75
Male,5,77,No,No,4,8,63
Female,5,74,Yes,No,4,1,61
Female,5,75,No,Yes,7,0,66
Female,5,49,No,No,6,9,39
Male,3,69,No,No,5,5,50
Female,7,92,Yes,No,9,0,86
Male,6,80,Yes,Yes,8,0,76
Male,4,77,Yes,Yes,7,6,64
Female,2,68,Yes,Yes,5,1,47
Male,9,91,No,No,9,3,87
Male,1,98,Yes,Yes,9,3,78
Female,4,82,Yes,No,6,1,70
Female,1,78,Yes,Yes,4,5,60
Male,6,89,Yes,No,6,9,83
Female,4,43,Yes,No,9,1,27
Male,5,44,No,Yes,6,7,36
Female,5,43,Yes,No,7,3,33
Female,9,75,Yes,No,5,0,74
Female,1,98,Yes,Yes,9,6,80
Male,2,84,No,No,7,5,61
Female,6,55,No,No,5,5,47
Female,5,64,No,No,7,2,53
Female,7,53,No,Yes,8,9,48
Male,3,50,No,No,4,6,29
Female,3,68,No,No,4,5,49
Female,2,73,No,No,4,9,56
Female,3,61,No,Yes,8,9,50
Male,1,53,Yes,Yes,9,8,32
Male,5,95,Yes,No,9,2,82
Male,5,63,No,No,8,2,50
Female,7,98,Yes,No,4,3,91
Female,4,78,No,Yes,4,2,63
Female,3,65,Yes,Yes,5,3,52
Female,1,82,Yes,No,5,5,60
Female,8,75,No,Yes,6,0,74
Female,3,78,Yes,No,7,1,62
Female,2,55,No,No,5,9,37
Female,4,97,No,No,5,5,80
Female,3,77,Yes,No,5,5,59
Female,1,98,No,No,5,0,78
Female,3,71,Yes,No,8,5,58
Female,2,45,Yes,No,6,8,30
Female,8,73,No,No,5,7,72
Female,6,95,No,No,9,9,91
Female,9,47,No,No,7,4,47
Female,8,69,No,Yes,5,3,66
Female,3,66,No,No,8,5,52
Female,5,46,Yes,Yes,9,4,39
Male,7,66,No,Yes,4,5,57
Male,5,64,Yes,No,4,9,52
Male,8,95,No,Yes,6,2,95
Female,5,85,Yes,No,4,6,72
Female,1,80,Yes,No,5,7,58
Female,5,54,Yes,Yes,8,4,48
Male,4,64,Yes,No,6,4,46
Male,6,61,Yes,No,9,3,52
Male,3,57,No,No,5,9,38
Female,5,51,Yes,Yes,4,4,44
Female,2,62,No,No,7,9,43
Female,6,90,Yes,Yes,5,7,87
Male,6,84,No,No,7,4,73
Female,5,78,Yes,No,9,8,70
Male,6,64,Yes,No,7,0,54
Female,7,49,No,No,9,6,40
Male,5,69,No,No,6,4,54
Female,1,49,Yes,No,8,3,30
Male,8,73,Yes,No,4,2,63
Female,4,85,No,No,4,9,72
Male,9,52,Yes,Yes,5,6,56
Female,6,93,Yes,Yes,4,1,90
Male,1,68,No,Yes,6,4,48
Male,3,77,Yes,Yes,4,1,63
Female,3,80,Yes,No,5,6,66
Male,4,84,No,Yes,4,5,69
Female,6,48,Yes,No,8,9,43
Female,7,52,No,No,9,6,45
Male,4,76,No,No,7,8,63
Male,6,53,Yes,No,7,1,42
Male,1,76,Yes,No,9,8,56
Male,8,48,No,No,7,6,44
Male,7,47,No,Yes,8,1,44
Male,9,78,Yes,Yes,6,9,81
Female,3,79,No,No,5,1,61
Male,2,93,Yes,No,8,3,73
Male,1,42,No,Yes,5,1,15
Female,3,94,No,No,6,0,77
Female,5,95,No,No,8,5,85
Male,2,86,Yes,No,4,9,62
Male,3,79,No,Yes,6,4,61
Male,4,72,No,No,7,2,53
Female,7,71,No,No,8,0,62
Female,3,46,No,No,6,8,28
Female,9,58,Yes,Yes,6,7,63
Female,8,73,No,No,8,5,68
Female,4,53,Yes,No,7,5,40
Female,1,89,No,Yes,9,3,71
Male,1,86,No,No,7,1,61
Male,1,85,Yes,Yes,6,3,65
Male,1,95,Yes,No,5,1,77
Female,8,96,No,Yes,9,6,100
Female,3,58,No,No,9,8,42
Female,6,90,No,Yes,6,1,82
Female,3,93,Yes,No,8,8,78
Female,5,98,No,Yes,8,8,93
Male,7,65,Yes,No,8,7,59
Female,2,56,No,No,7,0,36
Female,6,93,Yes,No,4,4,85
Female,6,67,Yes,Yes,8,9,64
Female,3,58,Yes,No,8,3,43
Female,6,66,No,No,9,6,61
Male,5,87,No,Yes,5,7,77
Male,2,91,Yes,Yes,5,9,71
Male,9,96,Yes,No,6,7,97
Male,8,58,Yes,No,6,1,55
Male,3,72,No,No,6,2,52
Female,8,90,No,No,8,9,90
Male,9,46,No,Yes,5,9,46
Female,3,68,Yes,Yes,6,6,53
Male,3,94,No,Yes,5,3,76
Female,2,82,No,Yes,8,5,65
Male,8,44,No,No,9,7,43
Male,1,69,Yes,Yes,8,7,49
Female,8,88,No,Yes,6,6,87
Male,7,82,No,No,8,1,74
Female,7,95,No,Yes,8,1,95
Female,3,97,No,No,5,2,83
Female,1,47,No,Yes,4,3,27
Female,4,81,Yes,Yes,7,0,70
Female,9,51,Yes,Yes,6,4,58
Female,5,81,Yes,Yes,4,6,73
Female,1,52,Yes,Yes,9,9,34
Female,5,65,No,Yes,6,4,54
Female,8,57,No,No,4,6,52
Female,8,81,Yes,Yes,8,4,81
Male,5,90,Yes,Yes,6,9,79
Male,9,91,Yes,No,4,7,89
Male,1,88,No,No,7,6,63
Female,4,59,No,Yes,8,0,50
Male,3,55,No,Yes,6,0,38
Male,2,76,Yes,Yes,9,4,60
Female,8,42,Yes,No,9,1,41
Male,7,66,Yes,No,6,8,57
Male,9,54,No,Yes,4,1,52
Male,2,97,No,No,6,8,77
Female,4,73,Yes,No,8,9,58
Male,6,84,Yes,Yes,5,1,72
Female,3,61,No,Yes,9,3,49
Female,8,79,No,Yes,4,2,78
Male,3,62,Yes,No,7,5,36
Female,2,98,Yes,No,6,3,75
Female,3,88,No,Yes,8,8,74
Female,6,43,Yes,No,6,8,37
Male,2,90,Yes,No,7,9,69
Male,8,93,No,No,8,8,92
Female,1,96,Yes,No,7,2,73
Female,7,80,No,No,8,2,74
Female,2,62,Yes,Yes,5,3,50
Male,6,86,No,No,9,8,79
Male,2,48,Yes,No,8,5,29
Female,2,63,Yes,Yes,7,8,46
Female,8,60,Yes,Yes,4,7,60
Female,2,80,No,Yes,9,6,65
Male,7,85,Yes,No,5,4,77
Female,3,94,Yes,No,6,8,79
Male,8,92,No,No,5,3,87
Female,7,55,Yes,No,5,3,49
Male,8,95,No,Yes,6,7,93
Female,7,94,No,No,8,3,93
Female,6,64,No,Yes,5,6,57
Female,7,65,Yes,No,9,3,60
Male,5,88,No,No,5,0,70
Female,7,84,Yes,No,4,9,77
Male,1,48,No,No,9,8,24
Female,1,54,Yes,No,4,3,31
Male,9,78,No,No,9,2,79
Male,5,72,No,Yes,7,2,63
Male,5,40,Yes,No,6,8,30
Female,3,44,No,Yes,9,7,29
Male,5,95,Yes,Yes,9,9,86
Female,3,48,No,Yes,8,6,33
Female,9,83,Yes,No,8,6,89
Male,9,45,No,No,7,3,44
Male,6,67,No,No,8,2,59
Male,1,84,Yes,No,8,3,58
Male,7,65,No,Yes,4,5,59
Male,7,67,Yes,No,8,3,62
Male,4,79,Yes,No,8,3,61
Male,8,54,No,Yes,7,1,50
Female,6,45,No,No,7,6,38
Male,4,66,No,No,5,5,45
Male,4,77,Yes,Yes,8,1,68
Female,2,43,Yes,Yes,8,4,29
Female,2,50,No,No,9,5,29
Male,4,60,Yes,No,8,4,45
Female,5,69,No,No,4,3,58
Female,8,57,No,No,9,8,57
Male,6,74,No,No,8,2,64
Female,4,42,Yes,Yes,4,1,29
Female,7,51,Yes,No,5,8,48
Male,8,66,No,Yes,9,7,67
Female,2,92,Yes,No,6,8,76
Male,7,69,No,No,8,9,64
Female,2,60,No,Yes,9,2,45
Male,2,77,Yes,No,7,0,56
Female,8,60,No,Yes,9,0,64
Male,2,77,No,No,7,2,55
Male,9,79,No,Yes,8,3,77
Male,1,54,No,No,4,1,30
Female,9,57,No,Yes,7,7,62
Male,1,91,Yes,Yes,9,2,72
Male,2,68,Yes,No,9,3,46
Male,6,87,No,No,7,5,74
Female,6,77,Yes,No,5,9,70
Male,1,60,No,No,5,5,34
Female,7,56,No,No,5,1,49
Female,8,80,No,No,7,5,77
Male,2,90,No,No,7,3,69
Male,8,57,Yes,Yes,9,4,55
Male,9,96,Yes,No,8,6,99
Female,6,94,No,No,8,6,87
Female,5,76,Yes,No,4,5,67
Female,9,77,No,Yes,7,9,83
Male,9,51,Yes,No,8,5,53
Female,1,50,No,No,8,5,29
Female,3,87,No,Yes,5,3,75
Female,9,91,No,No,5,2,92
Female,2,88,Yes,Yes,5,0,74
Female,4,59,Yes,Yes,6,2,49
Male,4,48,No,Yes,8,2,33
Male,2,40,Yes,Yes,5,8,21
Male,3,97,Yes,No,5,2,75
Male,3,42,Yes,No,7,7,23
Male,1,60,Yes,Yes,9,7,37
Female,6,62,Yes,No,5,2,55
Female,8,48,Yes,Yes,7,9,46
Female,3,93,Yes,No,4,9,75
Male,5,58,Yes,No,5,5,45
Male,1,84,Yes,No,9,7,63
Male,7,94,Yes,No,7,7,84
Female,1,85,Yes,No,9,9,66
Female,9,91,Yes,No,5,9,94
Male,8,58,Yes,Yes,4,8,52
Female,7,62,No,Yes,5,8,56
Male,7,66,No,No,7,7,59
Male,5,66,Yes,Yes,4,6,56
Female,5,78,Yes,Yes,4,9,70
Male,5,75,Yes,Yes,4,2,64
Male,1,51,No,No,6,6,26
Female,8,94,No,No,7,3,96
Female,1,66,Yes,No,6,1,39
Female,4,85,Yes,Yes,9,7,76
Male,9,73,Yes,Yes,4,1,72
Female,9,72,Yes,Yes,6,0,72
Male,5,67,Yes,No,5,4,54
Male,4,70,No,No,6,9,53
Female,3,71,Yes,Yes,8,8,58
Female,3,89,No,Yes,9,4,74
Male,5,59,Yes,No,4,1,44
Male,1,79,Yes,No,4,9,56
Female,5,74,No,Yes,9,3,67
Male,6,70,No,No,9,7,63
Male,7,97,Yes,Yes,7,6,95
Female,9,70,No,Yes,5,4,77
Female,3,77,Yes,No,9,3,60
Male,2,61,No,Yes,9,4,40
Female,3,84,No,Yes,7,6,72
Female,9,80,Yes,Yes,9,4,85
Female,7,48,Yes,No,6,7,40
Female,9,91,No,No,8,6,91
Male,2,48,Yes,No,8,6,29
Female,5,54,No,No,8,8,46
Male,4,52,No,Yes,9,7,42
Female,2,61,Yes,No,8,7,43
Female,9,55,No,Yes,5,5,57
Male,9,71,Yes,Yes,6,6,72
Male,6,41,Yes,No,8,7,32
Female,6,65,No,No,4,4,56
Male,8,53,Yes,No,9,9,48
Female,6,98,No,No,6,1,92
Male,1,77,No,No,5,6,52
Male,4,73,Yes,No,8,9,54
Male,7,47,Yes,No,5,2,36
Male,2,75,No,Yes,9,9,57
Female,9,60,Yes,No,8,7,63
Female,8,95,No,Yes,4,5,95
Female,8,85,No,No,6,3,81
Female,7,82,No,Yes,4,1,81
Male,4,95,No,Yes,8,6,85
Female,2,67,No,No,7,0,47
Female,3,85,Yes,Yes,6,6,69
Male,6,83,No,Yes,5,9,75
Male,5,87,No,Yes,8,9,78
Female,8,45,No,No,4,6,38
Male,6,59,No,Yes,9,9,54
Female,6,70,No,Yes,7,2,65
Female,1,72,No,No,9,3,49
Female,4,83,Yes,No,8,3,71
Male,5,46,Yes,No,5,3,34
Male,3,47,No,No,4,8,28
Male,9,48,No,Yes,6,5,47
Female,1,41,No,No,7,9,24
Female,6,56,Yes,No,8,8,51
Female,6,91,No,No,8,3,83
Male,5,84,No,Yes,8,6,78
Female,5,76,No,No,8,9,63
Female,5,81,No,No,4,8,67
Female,6,83,No,No,6,9,75
Male,8,56,No,Yes,5,2,55
Female,2,92,Yes,Yes,7,2,75
Female,6,77,No,No,8,5,70
Female,1,74,No,Yes,9,7,55
Male,4,86,No,No,8,0,71
Male,3,78,No,Yes,6,3,63
Male,9,69,No,Yes,6,7,67
Female,3,45,No,No,4,5,27
Male,6,43,No,No,4,1,31
Female,1,90,No,No,9,7,69
Female,6,76,No,Yes,9,0,71
Male,4,74,Yes,No,4,0,55
Male,8,97,Yes,Yes,7,6,99
Female,9,96,Yes,No,9,9,98
Male,4,48,No,Yes,4,2,35
Female,6,45,Yes,Yes,8,7,41
Male,1,52,Yes,No,4,8,26
Male,4,98,Yes,No,7,7,84
Female,7,61,Yes,No,4,0,54
Female,1,67,No,Yes,4,0,45
Female,8,69,Yes,Yes,8,5,70
Female,6,91,Yes,Yes,9,0,85
Female,5,75,No,Yes,8,7,71
Female,9,41,Yes,No,8,5,41
Female,2,97,No,Yes,4,4,77
Female,5,75,Yes,Yes,8,5,70
Male,6,47,Yes,No,6,3,32
Male,7,84,Yes,Yes,5,0,79
Male,5,81,No,No,5,6,65
Female,9,89,Yes,No,8,9,93
Female,1,48,Yes,Yes,9,8,30
Male,7,40,No,No,7,3,30
Male,7,52,Yes,No,8,3,45
Male,4,89,Yes,No,9,8,77
Male,9,54,Yes,No,8,3,52
Male,5,71,Yes,Yes,4,9,60
Male,4,73,Yes,Yes,9,3,63
Female,7,82,No,No,7,7,79
Male,4,70,No,No,8,3,53
Female,3,53,No,Yes,6,8,40
Female,9,93,Yes,No,9,7,96
Male,8,86,Yes,No,5,4,83
Male,1,53,Yes,No,9,8,27
Female,7,87,Yes,Yes,6,7,87
Male,9,94,Yes,Yes,6,9,98
Female,8,68,No,No,6,3,64
Female,8,86,No,No,7,3,82
Male,6,58,No,No,7,0,49
Male,4,66,Yes,No,9,3,51
Female,8,48,No,Yes,7,7,52
Male,3,76,No,No,5,4,54
Female,9,76,No,Yes,4,5,78
Male,2,82,No,No,9,3,60
Male,2,67,Yes,No,8,4,45
Male,7,91,Yes,No,8,9,87
Male,4,96,No,Yes,9,7,83
Female,8,63,No,No,4,8,60
Female,9,67,No,No,8,2,66
Male,7,75,No,No,9,9,71
Male,5,91,No,No,9,3,83
Male,8,57,No,Yes,6,0,57
Female,4,64,No,Yes,5,4,50
Male,2,74,No,No,8,3,52
Male,6,43,No,No,5,5,31
Female,9,53,Yes,No,9,5,51
Male,1,78,No,Yes,4,9,56
Female,7,65,Yes,Yes,9,5,66
Male,9,47,Yes,Yes,8,2,48
Female,9,63,No,No,5,6,63
Female,3,55,No,No,6,2,36
Female,5,59,Yes,Yes,6,5,51
Female,8,54,Yes,Yes,9,9,56
Male,8,46,No,Yes,4,0,39
Male,4,97,Yes,No,7,7,85
Male,1,56,No,Yes,8,6,38
Female,1,61,No,Yes,9,8,42
Female,4,61,Yes,No,6,2,45
Female,6,93,No,No,6,7,84
Female,8,51,Yes,Yes,4,1,48
Female,6,57,No,No,6,8,48
Male,9,95,No,Yes,8,0,97
Female,9,85,Yes,Yes,4,9,92
Male,2,86,Yes,Yes,5,6,64
Male,1,54,No,No,4,9,31
Female,2,76,No,No,8,0,57
Male,5,55,Yes,Yes,8,5,41
Female,4,44,No,Yes,5,0,29
Female,4,41,Yes,No,9,3,29
Male,9,91,Yes,Yes,4,6,90
Female,8,67,Yes,No,8,1,64
Female,6,96,No,Yes,8,2,91
Female,1,80,Yes,No,5,3,60
Female,2,93,No,No,7,5,72
Male,6,66,Yes,No,4,8,57
Male,2,70,No,No,8,3,51
Male,5,80,No,No,6,5,65
Male,5,75,Yes,Yes,5,6,67
Male,6,86,Yes,Yes,7,3,78
Male,6,82,Yes,Yes,7,5,74
Male,6,40,No,No,5,2,27
Male,2,89,No,No,7,4,68
Female,3,68,No,Yes,8,9,54
Female,6,40,Yes,Yes,7,3,37
Female,8,47,Yes,No,4,6,43
Male,1,96,Yes,Yes,6,5,71
Female,1,55,Yes,Yes,8,6,37
Male,2,97,Yes,Yes,5,5,76
Male,6,67,No,No,6,1,55
Male,9,61,Yes,No,9,6,62
Male,4,57,No,Yes,8,7,43
Male,3,61,Yes,No,6,6,39
Male,8,80,Yes,No,7,3,74
Male,9,51,Yes,Yes,9,3,56
Female,5,58,Yes,Yes,5,4,50
Male,9,64,Yes,No,5,8,64
Female,2,89,No,Yes,4,4,75
Male,3,98,Yes,No,7,1,84
Female,7,44,No,No,4,4,37
Female,7,98,No,Yes,4,2,94
Male,6,73,No,No,7,9,62
Male,6,78,No,No,8,7,69
Female,2,98,Yes,No,9,9,83
Female,6,49,Yes,No,4,9,42
Male,4,86,Yes,Yes,6,1,71
Female,3,96,Yes,No,9,3,79
Female,2,46,Yes,Yes,8,4,30
Male,1,76,No,No,7,3,51
Female,5,86,Yes,No,5,4,79
Male,2,91,Yes,No,8,9,67
Female,2,91,No,Yes,4,3,72
Female,7,54,Yes,Yes,6,2,53
Male,8,81,Yes,No,9,0,75
Male,8,63,No,No,7,3,58
Male,4,65,Yes,No,5,8,51
Male,1,65,No,Yes,9,0,45
Female,7,85,No,Yes,6,6,85
Female,1,65,Yes,No,5,2,42
Male,4,97,No,Yes,7,7,85
Female,8,49,Yes,No,9,5,49
Female,2,56,Yes,No,8,0,36
Female,6,92,Yes,No,4,9,86
Female,6,53,No,No,7,4,42
Female,9,41,No,Yes,6,7,43
Female,5,87,No,Yes,8,2,81
Male,4,52,No,Yes,9,3,35
Female,5,66,No,No,5,6,55
Male,5,48,No,No,8,5,37
Female,8,46,No,Yes,8,6,46
Male,8,87,No,No,6,8,84
Male,2,49,No,No,4,8,26
Female,7,95,No,No,8,1,92
Female,8,93,No,Yes,8,2,94
Male,6,48,Yes,No,4,3,39
Female,5,61,No,Yes,4,5,53
Female,9,62,Yes,No,5,4,64
Female,3,46,Yes,No,9,5,33
Female,4,87,Yes,Yes,5,7,80
Female,9,48,Yes,Yes,4,1,48
Female,6,66,No,No,7,5,56
Female,8,63,Yes,No,4,8,63
Male,7,68,Yes,Yes,5,4,63
Male,2,56,Yes,No,6,0,37
Female,3,59,No,No,6,7,38
Female,1,46,Yes,Yes,9,3,28
Male,9,82,Yes,Yes,8,7,85
Male,7,79,No,No,6,3,73
Male,1,46,No,Yes,5,7,28
Female,3,67,No,No,6,8,51
Female,4,58,No,No,7,4,45
Male,4,59,No,Yes,4,4,41
Female,5,83,No,No,4,1,71
Male,3,78,No,No,5,8,60
Male,3,79,No,Yes,8,3,62
Male,1,46,No,No,4,2,20
Male,7,45,Yes,Yes,6,1,40
Female,1,64,No,Yes,7,2,48
Female,2,80,Yes,Yes,8,3,63
Female,4,98,Yes,Yes,8,8,88
Male,4,52,No,No,8,5,34
Female,5,78,No,No,4,9,66
Female,2,79,No,Yes,9,4,61
Male,4,61,No,Yes,8,8,48
Male,1,88,Yes,No,5,7,64
Male,2,56,Yes,Yes,6,5,40
Male,1,87,No,Yes,9,2,66
Female,4,61,Yes,No,7,6,51
Female,4,73,No,No,6,9,62
Female,7,47,Yes,No,5,5,42
Female,9,88,Yes,Yes,5,7,92
Male,9,84,No,No,9,5,85
Female,5,57,No,No,6,9,48
Female,1,63,Yes,No,4,3,39
Male,1,93,No,Yes,5,9,73
Male,6,81,Yes,No,8,6,72
Male,2,41,No,Yes,7,6,23
Male,8,41,No,No,7,7,40
Female,9,66,No,Yes,5,1,67
Male,4,53,No,No,8,5,33
Male,5,87,No,Yes,6,2,76
Male,8,78,No,Yes,7,7,75
Male,3,92,No,Yes,8,3,77
Female,5,92,Yes,Yes,8,3,84
Male,3,95,No,No,4,1,74
Male,3,51,Yes,No,5,5,35
Female,3,71,No,Yes,8,5,62
Female,7,67,Yes,No,6,0,62
Female,7,94,No,Yes,7,7,91
Male,7,67,No,No,4,2,59
Male,8,85,Yes,No,6,0,79
Female,5,64,No,No,7,9,51
Male,5,43,No,Yes,5,0,35
Male,4,65,No,Yes,6,0,51
Female,7,75,No,No,7,4,71
Female,4,89,No,Yes,4,4,77
Male,2,42,Yes,No,7,0,21
Female,4,40,No,No,8,4,25
Male,8,56,Yes,No,4,6,50
Female,9,46,Yes,No,6,4,48
Female,3,87,Yes,No,9,8,73
Male,7,44,Yes,Yes,5,3,37
Male,9,58,Yes,No,4,8,58
Female,4,78,Yes,Yes,4,7,67
Male,3,85,Yes,Yes,4,0,67
Female,5,73,Yes,Yes,7,3,63
Male,1,74,No,Yes,8,6,57
Male,3,88,Yes,Yes,9,0,75
Female,8,55,No,No,5,7,52
Male,8,79,Yes,Yes,5,1,75
Male,4,89,Yes,No,8,7,76
Male,2,86,No,Yes,7,3,68
Male,8,78,Yes,Yes,7,7,77
Female,8,66,No,Yes,8,0,66
Male,4,80,Yes,No,8,4,66
Male,3,77,No,No,6,8,59
Male,2,89,No,No,7,6,69
Male,9,89,Yes,No,4,2,87
Female,1,64,Yes,No,5,3,43
Male,7,65,Yes,No,7,9,58
Female,5,95,Yes,No,8,6,87
Male,8,53,No,No,4,5,45
Female,4,53,No,No,6,3,37
Female,7,53,No,Yes,9,2,55
Male,5,64,No,Yes,6,1,50
Male,5,75,No,No,4,9,63
Male,9,43,No,Yes,4,8,49
Female,9,86,No,No,8,2,91
Female,9,54,Yes,No,9,6,58
Male,6,71,Yes,No,8,0,65
Female,6,57,Yes,Yes,5,7,53
Male,5,53,Yes,No,9,0,40
Male,9,97,Yes,No,9,1,97
Male,8,40,Yes,No,5,0,36
Female,7,81,Yes,No,6,3,81
Male,7,59,Yes,No,4,1,52
Male,6,49,No,No,6,0,37
Female,5,49,Yes,Yes,8,0,40
Female,4,98,Yes,Yes,7,1,84
Male,3,63,Yes,No,8,5,45
Female,3,73,No,Yes,7,1,57
Male,6,67,Yes,No,4,1,57
Male,4,66,No,No,4,7,48
Female,6,79,No,Yes,9,4,77
Female,3,40,Yes,Yes,4,7,31
Male,4,72,No,No,5,7,55
Female,9,43,Yes,Yes,5,1,46
Male,5,46,Yes,Yes,7,6,37
Female,7,48,Yes,No,6,8,43
Female,2,55,No,No,9,7,37
Female,5,44,Yes,Yes,6,8,36
Female,9,73,Yes,Yes,7,7,81
Female,3,62,Yes,No,5,3,44
Male,9,82,No,No,8,9,79
Female,6,89,No,No,9,6,80
Female,4,64,No,No,7,8,49
Female,7,96,No,Yes,6,8,94
Male,8,90,Yes,No,7,3,88
Male,6,52,Yes,No,7,6,44
Female,5,63,No,Yes,4,5,56
Male,6,50,Yes,Yes,5,2,42
Male,5,91,No,No,9,9,82
Female,8,90,Yes,Yes,4,5,90
Male,1,56,Yes,Yes,5,7,30
Female,7,76,No,Yes,7,1,76
Female,2,52,No,No,5,2,30
Male,9,66,Yes,No,6,7,64
Female,1,59,No,Yes,9,3,40
Female,6,72,Yes,No,4,3,64
Male,9,81,Yes,Yes,9,1,84
Male,1,71,Yes,Yes,7,9,50
Female,4,47,Yes,No,6,0,36
Male,4,95,No,No,5,6,79
Female,9,68,Yes,No,5,3,68
Female,5,79,Yes,No,6,5,70
Female,5,58,Yes,No,5,7,50
Male,6,45,No,Yes,4,6,38
Female,1,83,Yes,Yes,8,6,64
Male,1,78,No,No,5,5,54
Female,9,87,No,Yes,7,3,91
Male,3,80,No,No,5,3,60
Female,4,60,No,No,9,8,46
Female,1,96,No,No,7,4,75
